iter	Passed	Remaining
1222	112475	347357
1223	112560	347244
1224	112657	347168
1225	112743	347058
1226	112835	346965
1227	112919	346849
1228	113006	346743
1229	113092	346634
1230	113178	346522
1231	113261	346404
1232	113347	346294
1233	113432	346180
1234	113519	346072
1235	113608	345973
1236	113700	345880
1237	113790	345782
1238	113879	345683
1239	113967	345579
1240	114051	345464
1241	114143	345371
1242	114232	345270
1243	114319	345165
1244	114407	345059
1245	114492	344949
1246	114583	344852
1247	114673	344756
1248	114761	344651
1249	114847	344542
1250	114930	344423
1251	115014	344309
1252	115102	344205
1253	115192	344108
1254	115275	343990
1255	115360	343877
1256	115443	343758
1257	115527	343642
1258	115615	343541
1259	115703	343438
1260	115786	343319
1261	115873	343214
1262	115961	343111
1263	116048	343004
1264	116140	342913
1265	116226	342803
1266	116312	342694
1267	116396	342579
1268	116482	342472
1269	116567	342360
1270	116652	342247
1271	116735	342131
1272	116822	342023
1273	116907	341913
1274	116994	341807
1275	117080	341699
1276	117165	341588
1277	117251	341477
1278	117341	341381
1279	117429	341280
1280	117515	341170
1281	117603	341068
1282	117687	340954
1283	117772	340842
1284	117858	340734
1285	117942	340620
1286	118029	340514
1287	118117	340412
1288	118206	340312
1289	118292	340205
1290	118382	340107
1291	118470	340006
1292	118553	339891
1293	118641	339787
1294	118729	339684
1295	118813	339572
1296	118901	339471
1297	118985	339356
1298	119074	339256
1299	119167	339167
1300	119253	339060
1301	119339	338953
1302	119428	338855
1303	119514	338746
1304	119597	338631
1305	119685	338529
1306	119769	338415
1307	119863	338330
1308	119951	338229
1309	120042	338136
1310	120132	338038
1311	120217	337928
1312	120302	337818
1313	120393	337724
1314	120480	337621
1315	120573	337531
1316	120666	337445
1317	120760	337359
1318	120848	337258
1319	120937	337157
1320	121029	337067
1321	121116	336964
1322	121207	336871
1323	121296	336770
1324	121381	336661
1325	121468	336556
1326	121556	336456
1327	121646	336359
1328	121729	336245
1329	121814	336134
1330	121899	336024
1331	121984	335914
1332	122070	335809
1333	122159	335710
1334	122244	335600
1335	122329	335491
1336	122414	335381
1337	122499	335272
1338	122590	335177
1339	122675	335070
1340	122762	334963
1341	122850	334864
1342	122935	334754
1343	123023	334652
1344	123112	334553
1345	123198	334448
1346	123282	334337
1347	123366	334225
1348	123455	334125
1349	123542	334023
1350	123628	333914
1351	123715	333810
1352	123801	333706
1353	123885	333595
1354	123977	333503
1355	124063	333398
1356	124147	333284
1357	124231	333174
1358	124316	333065
1359	124401	332957
1360	124485	332845
1361	124571	332740
1362	124658	332636
1363	124748	332540
1364	124833	332431
1365	124918	332322
1366	125002	332211
1367	125087	332102
1368	125172	331995
1369	125258	331888
1370	125346	331788
1371	125430	331678
1372	125518	331576
1373	125603	331469
1374	125690	331365
1375	125778	331265
1376	125865	331163
1377	125955	331066
